When,How,SubID,Condition,Age,Gender,Grade,Category.num,Category
N,T,39,3,5.424657534,M,PreK,1,Violin
Y,B,39,3,5.424657534,M,PreK,2,See
N,T,39,3,5.424657534,M,PreK,3,Gravity
Y,B,39,3,5.424657534,M,PreK,4,Fish
Y,B,39,3,5.424657534,M,PreK,5,Crying
N,O,39,3,5.424657534,M,PreK,6,Helping
N,B,39,3,5.424657534,M,PreK,7,Bee
Y,B,39,3,5.424657534,M,PreK,8,ObjPerm
Y,T,39,3,5.424657534,M,PreK,9,Spider
Y,B,39,3,5.424657534,M,PreK,10,Number
Y,B,39,3,5.424657534,M,PreK,11,Hear
N,T,39,3,5.424657534,M,PreK,12,Reading
Y,B,39,3,5.424657534,M,PreK,13,Face
N,O,47,3,5.517808219,F,PreK,1,See
N,T,47,3,5.517808219,F,PreK,2,Violin
N,B,47,3,5.517808219,F,PreK,3,Gravity
N,O,47,3,5.517808219,F,PreK,4,Fish
Y,B,47,3,5.517808219,F,PreK,5,Crying
N,T,47,3,5.517808219,F,PreK,6,Helping
N,O,47,3,5.517808219,F,PreK,7,Bee
N,T,47,3,5.517808219,F,PreK,8,ObjPerm
N,O,47,3,5.517808219,F,PreK,9,Spider
N,O,47,3,5.517808219,F,PreK,10,Number
N,B,47,3,5.517808219,F,PreK,11,Hear
N,T,47,3,5.517808219,F,PreK,12,Reading
N,O,47,3,5.517808219,F,PreK,13,Face
N,T,29,1,5.591780822,M,K,1,Violin
Y,B,29,1,5.591780822,M,K,2,See
N,T,29,1,5.591780822,M,K,3,Gravity
Y,B,29,1,5.591780822,M,K,4,Fish
Y,B,29,1,5.591780822,M,K,5,Crying
N,T,29,1,5.591780822,M,K,6,Helping
Y,B,29,1,5.591780822,M,K,7,Bee
N,O,29,1,5.591780822,M,K,8,ObjPerm
Y,B,29,1,5.591780822,M,K,9,Spider
N,O,29,1,5.591780822,M,K,10,Number
Y,B,29,1,5.591780822,M,K,11,Hear
N,O,29,1,5.591780822,M,K,12,Reading
N,O,29,1,5.591780822,M,K,13,Face
N,O,67,3,5.591780822,M,PreK,1,See
N,T,67,3,5.591780822,M,PreK,2,Violin
Y,T,67,3,5.591780822,M,PreK,3,Gravity
N,T,67,3,5.591780822,M,PreK,4,Fish
Y,B,67,3,5.591780822,M,PreK,5,Crying
N,T,67,3,5.591780822,M,PreK,6,Helping
N,T,67,3,5.591780822,M,PreK,7,Bee
N,T,67,3,5.591780822,M,PreK,8,ObjPerm
N,T,67,3,5.591780822,M,PreK,9,Spider
N,T,67,3,5.591780822,M,PreK,10,Number
N,T,67,3,5.591780822,M,PreK,11,Hear
N,O,67,3,5.591780822,M,PreK,12,Reading
N,T,67,3,5.591780822,M,PreK,13,Face
N,,63,3,5.597260274,F,K,1,See
N,T,63,3,5.597260274,F,K,2,Violin
N,T,63,3,5.597260274,F,K,3,Gravity
Y,B,63,3,5.597260274,F,K,4,Fish
Y,B,63,3,5.597260274,F,K,5,Crying
N,T,63,3,5.597260274,F,K,6,Helping
N,T,63,3,5.597260274,F,K,7,Bee
N,T,63,3,5.597260274,F,K,8,ObjPerm
Y,B,63,3,5.597260274,F,K,9,Spider
